,Name,Gender,Number,Year
0,Rose,F,666,1997
1,Rose,F,1019,1998
2,Rose,F,1132,1999
3,Rose,F,1080,2000
4,Rose,F,1029,2001
5,Rose,F,922,2002
6,Rose,F,854,2003
7,Rose,F,895,2004
8,Rose,F,967,2005
9,Rose,F,961,2006
10,Rose,F,942,2007
11,Rose,F,974,2008
12,Rose,F,939,2009
13,Rose,F,964,2010
14,Rose,F,1099,2011
15,Rose,F,1253,2012
16,Rose,F,1429,2013
17,Rose,F,1700,2014
18,Rose,F,1954,2015
19,Rose,F,2035,2016
20,Rose,M,5,2016
21,Rose,F,2077,2017
22,Rose,M,6,2017
23,Rose,F,2456,2018
24,Rose,F,2534,2019
25,Rose,F,2376,2020
26,Rose,M,7,2020
27,Rose,F,2394,2021
28,Rose,F,2364,2022
29,Rose,F,2237,2023
30,Rose,M,7,2023
